x-axis,FFT
Hertz,decibel
+804.183E+00,-122.835752E+00
+806.084E+00,-114.558667E+00
+807.985E+00,-113.822703E+00
+809.886E+00,-114.764889E+00
+811.787E+00,-113.447534E+00
+813.688E+00,-113.512365E+00
+815.589E+00,-116.248380E+00
+817.490E+00,-116.865887E+00
+819.392E+00,-114.852076E+00
+821.293E+00,-112.731646E+00
+823.194E+00,-120.087353E+00
+825.095E+00,-121.946812E+00
+826.996E+00,-117.529356E+00
+828.897E+00,-116.201023E+00
+830.798E+00,-118.398438E+00
+832.700E+00,-119.990161E+00
+834.601E+00,-121.647687E+00
+836.502E+00,-119.251419E+00
+838.403E+00,-114.855171E+00
+840.304E+00,-119.293984E+00
+842.205E+00,-118.327674E+00
+844.106E+00,-116.583469E+00
+846.008E+00,-103.922642E+00
+847.909E+00,-88.137452E+00
+849.810E+00,-87.145239E+00
+851.711E+00,-102.734375E+00
+853.612E+00,-112.962240E+00
+855.513E+00,-114.875866E+00
+857.414E+00,-115.319448E+00
+859.316E+00,-112.196949E+00
+861.217E+00,-113.468891E+00
+863.118E+00,-115.244511E+00
+865.019E+00,-115.211966E+00
+866.920E+00,-115.853257E+00
+868.821E+00,-113.997122E+00
+870.722E+00,-116.524930E+00
+872.624E+00,-117.799318E+00
+874.525E+00,-115.005709E+00
+876.426E+00,-115.938217E+00
+878.327E+00,-117.233383E+00
+880.228E+00,-117.636502E+00
+882.129E+00,-117.440833E+00
+884.030E+00,-114.605319E+00
+885.932E+00,-111.823165E+00
+887.833E+00,-118.494978E+00
+889.734E+00,-124.020770E+00
+891.635E+00,-124.009403E+00
+893.536E+00,-126.386362E+00
+895.437E+00,-123.510610E+00
+897.338E+00,-119.154053E+00
+899.240E+00,-117.373206E+00
+901.141E+00,-115.286865E+00
+903.042E+00,-115.777878E+00
+904.943E+00,-113.707560E+00
+906.844E+00,-112.275340E+00
+908.745E+00,-120.862657E+00
+910.646E+00,-128.005598E+00
+912.548E+00,-125.498525E+00
+914.449E+00,-121.053627E+00
+916.350E+00,-118.637337E+00
+918.251E+00,-123.465176E+00
+920.152E+00,-128.077899E+00
+922.053E+00,-124.251977E+00
+923.954E+00,-120.076249E+00
+925.856E+00,-119.333864E+00
+927.757E+00,-116.353218E+00
+929.658E+00,-118.396433E+00
+931.559E+00,-124.947125E+00
+933.460E+00,-125.127131E+00
+935.361E+00,-125.503721E+00
+937.262E+00,-131.494378E+00
+939.163E+00,-125.542756E+00
+941.065E+00,-113.583376E+00
+942.966E+00,-108.927854E+00
+944.867E+00,-109.001384E+00
+946.768E+00,-104.027414E+00
+948.669E+00,-96.112598E+00
+950.570E+00,-100.986045E+00
+952.471E+00,-110.342664E+00
+954.373E+00,-114.195576E+00
+956.274E+00,-118.006203E+00
+958.175E+00,-116.232335E+00
+960.076E+00,-114.439903E+00
+961.977E+00,-117.917577E+00
+963.878E+00,-116.066138E+00
+965.779E+00,-117.453695E+00
+967.681E+00,-122.258223E+00
+969.582E+00,-120.169202E+00
+971.483E+00,-118.727336E+00
+973.384E+00,-125.367450E+00
+975.285E+00,-130.190790E+00
+977.186E+00,-118.844707E+00
+979.087E+00,-113.879813E+00
